"station_name","site_type","status","confidence","address","state","longitude","latitude","network","ccs1_ports","ccs1_power_per_port","nacs_ports","nacs_power_per_port","charger_count","open_24_7","last_updated","NEVI_creditable","PlugShare_link","AFC","data_source"
"Pilot Travel Center #1490","Truck Stop","Coming Soon","High","7530 TN-222, Mason, TN 38049","TN",-89.4114845281521,35.3886099548922,"GM Energy","","","","","","","2026-03-31","Y","https://www.plugshare.com/location/1717923","Y","Coming_Soon"
"Pilot Travel Center #411","Truck Stop","Coming Soon","Medium","921 Murfreesboro Rd, Lebanon, TN 37090","TN",-86.2996008483439,36.1791200321099,"GM Energy","","","","","","","2026-03-31","Y","https://www.plugshare.com/location/1738412","Y","Coming_Soon"
"Flying J Travel Center #662","Truck Stop","Coming Soon","High","18750 Herndon Oak Grove Rd, Oak Grove, KY 42262","KY",-87.4543616374947,36.6970598600227,"GM Energy","","","","","","","2026-01-15","Y","https://www.plugshare.com/location/722086","Y","Coming_Soon"
"Pilot Travel Center #439","Truck Stop","Coming Soon","Medium","12900 Fort Campbell Boulevard","KY",-87.4517574948144,36.6922390362249,"","","","","","","","2026-04-27","Y","https://www.plugshare.com/location/1795524","Y","Coming_Soon"
"Flying J Travel Center","Truck Stop","Open","","3400 Service Loop Rd, West Memphis, AR 72301","AR",-90.1444739782888,35.154549842265,"GM Energy","4","350","0","0","2","Y","2026-01-15","Y","https://www.plugshare.com/location/565820","Y","Open_Creditable"
"Commons at Wolf Creek","Shopping Center","Open","","2755 North Germantown Parkway, Memphis, TN 38133","TN",-89.7938987187097,35.2018548243843,"Electrify America","4","350","0","0","4","Y","2026-01-15","Y","https://www.plugshare.com/location/559773","Y","Open_Creditable"
"Walmart 335 - Jackson, TN","Shopping Center","Open","","2196 Emporium Dr, Jackson, TN 38305","TN",-88.8530343753744,35.6688386596678,"Electrify America","6","350","0","0","4","Y","2026-01-15","Y","https://www.plugshare.com/location/185737","Y","Open_Creditable"
"Pilot Travel Center","Truck Stop","Open","","30 Sand Pebble Drive, Jackson, TN 38305","TN",-88.7773491732522,35.6832665858114,"GM Energy","4","350","0","0","2","Y","2026-01-15","Y","https://www.plugshare.com/location/585173","Y","Open_Creditable"
"Dickson I-40 | MB High-Power Charging","Restaurant","Open","","2431 TN-46, Dickson, TN 37055","TN",-87.3337329178165,36.0171130287293,"Mercedes-Benz Charging Network","5","400","5","400","5","Y","2026-03-31","Y","https://www.plugshare.com/location/1417554","Y","Open_Creditable"
"Pilot Travel Center","Truck Stop","Open","","2320 Highway 46 South Dickson, TN 37055","TN",-87.3405212777352,36.0225247421689,"GM Energy","4","350","0","0","2","Y","2026-03-31","Y","https://www.plugshare.com/location/1301211","Y","Open_Creditable"
"Willowbrook Commons - Guacamayas","Shopping Center","Open","","61 East Thompson Lane, Nashville, Tennessee, 37211","TN",-86.7272065076358,36.1097972450458,"Electrify America","8","350","0","0","8","Y","2026-01-15","Y","https://www.plugshare.com/location/158471","Y","Open_Creditable"
